title	tomenumber	author	editeur	pagenumber	prix	isbn	commentaire	resume	image
[Angor]	1	Franck thilliez	fleuvenoir	624	21,90	978-2-265-09869-5	normal	D’où vient ce cauchemar qui la hante depuis sa greffe du cœur ? Camille, gendarme à Villeneuve-d'Ascq, voit chaque nuit une femme enfermée l'appeler au secours. Un rêve aussi réel qu'un souvenir. Elle n'a dès lors plus qu'une obsession : retrouver l'identité de son donneur. A une centaine de kilomètres de là, Sharko et Henebelle n'ont guère le temps de pouponner leurs jumeaux : une femme, victime d'une longue séquestration, les yeux presque blancs, dépourvus d'iris, a été découverte… sous un arbre. Et leur enquête prend un tour plus curieux encore lorsque Franck comprend qu'à chaque nouvelle piste, il est devancé par une jeune femme, gendarme dans le Nord…	https://www.babelio.com/couv/CVT_ANGOR_7154.jpeg
48 heures pour mourir	1	Andreas Gruber	France Loisirs	482	19,95	978-2-298-08400-9	normal	Le téléphone sonne. Une voix étrange vous soumet une énigme. Vous avez 48 heures pour la résoudre. Sinon... Une femme morte est retrouvée près du grand orgue de la cathédrale de Munich. Un crime pour le moins singulier : on lui a fait ingurgiter deux litres d'encre noire... Sabine Nemez, jeune commissaire de police, est bien malgré elle mêlée à l'affaire : la victime n'est autre que sa mère, énième victime d'un inconnu qui enlève des femmes, les torture et les achève au bout de 48 heures si l'énigme qu'il a soumise à un proche n'a pas été résolue. L'enquête est confiée à Maarten S. Sneijder, un expert du BKA, l'Office fédéral de police criminelle. Sabine parviendra-t-elle à convaincre cet homme aussi talentueux qu'irascible qu'un recueil de contes pour enfants sert de modèle au criminel ? Au même moment, une psychologue viennoise ayant reçu un macabre colis suivi d'un coup de téléphone comprend qu'elle dispose de deux jours pour sauver une vie...	https://www.babelio.com/couv/cvt_48-heures-pour-mourir_4056.jpeg
À quelques secondes près	1	Harlan Coben	PKJ	336	18,90	978-2-266-23803-8	normal	Mickey Bolitar et ses nouveaux amis, Emma l'intrépide et Spoon le déjanté, se retrouvent mêlés à une affaire de meurtre impliquant leur camarade Rachel. Mickey, qui cherche à comprendre les circonstances mystérieuses de la mort de son père et à découvrir l'identité du fameux boucher de Lodz, ne peut abandonner Rachel et décide de remonter également la piste de son agresseur.	https://images-na.ssl-images-amazon.com/images/I/518uNUq6ifL._SX210_.jpg
A.N.G.E	2	Anne Robillard	Michel Lafon	368	16,95	978-2-7499-1308-7	normal	À l'insu des habitants de la Terre, des hommes et des femmes travaillant pour l'Agence Nationale de Gestion de l'Étrange – mieux connue sous le nom de l'A.N.G.E. – veillent sur l'humanité. Peu importe le pays où ils sont affectés, ces agents secrets protègent les hommes des ténébreuses machinations des serviteurs du Mal. La destruction de la base montréalaise de l'A.N.G.E. oblige ses agents à se réfugier provisoirement dans un abri souterrain du village canadien d'Alert Bay. Les membres de l'équipe sont ensuite dispersés dans d'autres divisions à travers le pays, malgré les efforts de leur chef Cédric pour les rassembler. Toutefois, Océane et Cindy sont envoyées ensemble à Toronto où le Faux Prophète, un redoutable manipulateur, a été aperçu. En espionnant Thierry Morin, l'étrange enquêteur aux pouvoirs surnaturels, elles découvrent une vaste conspiration vieille de plusieurs milliers d'années. En plus d'être aux prises avec l'Antéchrist, l'A.N.G.E. devra alors faire face à un ennemi beaucoup plus sournois, œuvrant depuis longtemps au sein de tous les gouvernements du monde. Mais comment avertir les humains de l'existence d'une menace qu'ils refusent d'admettre ? 	https://www.babelio.com/couv/bm_10071_1005017.jpg
A.N.G.E	3	Anne Robillard	Michel Lafon	368	16,95	978-2-7499-1357-5	normal	Alors qu'ils enquêtent sur les étranges agissements d'un médecin à Toronto, Océane et Aodhan constatent avec stupeur l'influence grandissante des reptiliens à travers le monde. Mais que peuvent-ils faire alors qu'à l'agence, tout semble s'effondrer ? Que craint Cédric, leur directeur, pour cacher sa véritable identité ? Et pourquoi Yannick les abandonne-t-il au dernier moment ? Pendant ce temps, dans la base genevoise, Thierry a pour mission d'exécuter deux importants chefs reptiliens. Bientôt, il comprend avec effroi que l'un d'eux était le frère de la reine des Dracos, l'un des ennemis les plus redoutables qui soient. Folle de rage, cette dernière va lui tendre un piège. Les membres de l'A.N.G.E. vont devoir s'unir à travers le monde entier pour affronter la colère des serviteurs du Mal.	https://www.babelio.com/couv/CVT_ANGE-Tome-3--Perfidia_9782.jpeg
A.N.G.E	5	Anne Robillard	Michel Lafon	368	17,20	978-2-7499-1604-0	normal	À l’insu des habitants de la Terre, l’Agence Nationale de Gestion de l’Étrange veille sur l’humanité. Ses agents secrets protègent les hommes des ténébreuses machinations des serviteurs du Mal. L’Antéchrist a échappé aux agents de l’A.N.G.E. Réincarné en diplomate israélien, Asgad Ben-Adnah, qui vient de rétablir la paix au Moyen-Orient, semble désormais intouchable. La mission de l’intrépide Océane, chargée de le supprimer, est plus difficile que jamais. D’autant qu’une force mystérieuse l’empêche d’agir. De son côté, Cédric rentre au Canada pour former les jeunes agents qui doivent remplacer l’équipe qu’il a perdue. La base de Montréal continue son travail de surveillance de l’ensemble des sociétés secrètes qui s’intéressent à l’Antéchrist. Mais dans ce combat contre les terribles forces obscures, la solution pourrait bien se trouver au cœur même de l’Agence. En effet, dans la salle des Laboratoires, Vincent vient de découvrir les codes secrets de la Bible, le Codex Angelicus, un outil indispensable pour comprendre la prophétie. L’informaticien saura-t-il utiliser cette nouvelle clé pour aider ses collègues à éradiquer le Mal ?	https://images-na.ssl-images-amazon.com/images/I/71+bZ+pkH3L.jpg
Alan Turing Le génie qui a décrypté les codes secrets nazis et inventé l'ordinateur	1	Andrew Hodges	Michel Lafon	704	21,95	978-2-7499-2433-5	normal	~~Génie de l'informatique et héros de la Seconde Guerre mondiale, Alan Turing est célèbre pour avoirdécrypté lescommunications codées de l'arméeallemandeen venant à bout d'Enigma, la machine de chiffrement utilisée par les nazis, réputée inviolable. Il faut dire que lorsqu'il « casse » le code secret allemand, à 30 ans, le mathématicienn'en est pas à son premier coup d'éclat. Déjà, en 1936, il a dessinéles contours d'une première machine programmable, ou « machine de Turing », capable d'effectuer n'importe quel calcul mathématique : l'ancêtre de l'ordinateur. Aprèsguerre, Alan Turing poursuit ses recherches et se consacre en pionnier aux possibilités offertes par l'intelligence artificielle. Mais l'ex-héros national est persécuté à cause de son homosexualité et condamné en 1952 à la castration chimique. Deux années plus tard, à l'âge de 41 ans, Alan Turing met fin à ses jours en croquant une pomme empoisonnée au cyanure. Cette biographie, qui mêle histoire des sciences, politique et philosophie,nous dévoile la vie palpitante de l'inventeur,longtemps méconnu, qui a révolutionné nos vies. LA BIOGRAPHIE LA PLUS COMPLETE SUR ALAN TURING : LE GENIEQUI A DECRYPTELES CODES SECRETS NAZIS, ET LE PEREDE L'INFORMATIQUE	https://www.babelio.com/couv/bm_CVT_Alan-Turing-ou-Lenigme-de-lintelligence_3729.jpg
Arena 13	1	Joseph Delaney	Bayard	400	15,90	978-2-7470-5858-2	normal	Les temps sont funestes pour l’humanité qui a presque disparu de la Terre, vaincue par des machines douées de conscience. Les derniers humains vivent confinés dans le pays de Midgard, entourés par une infranchissable barrière de brouillard. Dans une citadelle vit une sinistre créature, Hob, qui exerce une tyrannie sanglante sur la population. Des arènes de combat ont été ouvertes… La plus populaire et terrifiante est l’Arena 13 : c’est là où combat Hob. Un jeune garçon de 16 ans, Leif, décide alors de l’affronter. Pour cela, il va alors convaincre le meilleur des entraîneurs, Tyron, de le former au combat…	https://images-na.ssl-images-amazon.com/images/I/51VQppBMiFL._SX210_.jpg
Arena 13 La proie	2	Joseph Delaney	Bayard	464	15,90	978-2-7470-6126-1	normal	Après la première année de son apprentissage en tant que combattant de l'arène 13, Leif cherche des informations auprès du peuple de son défunt père. Là il en apprend plus sur l'homme, qui était le plus grand combattant de l'arène jamais vu. L'homme qui était si près de détruire le démon Hob, mais qui en a payé le prix terrible de sa vie. Leif revient au combat avec une faim renouvelée de vengeance. Mais peut-il rester concentré sur sa formation malgré sa passion pour la fille de son maître, Kwin? Son maître l'aidera ou l'empêchera-t-il dans sa mission personnelle de vaincre Hob dans une lutte à mort? 	https://www.babelio.com/couv/CVT_Arena-13-tome-2_9589.jpg
Arsène Lupin Gentleman Cambrioleur	1	Maurice Leblanc	Hachette	242	3,99	N/A	normal	N/A	https://cdn.hachette-collections.com/fr-be/pages/collections/13T/assets/images/homepage/z1_v1.png
Au lieu d'exécution	1	Val McDermid	J'ai lu	604	0,00	978-2-277-00896-5	normal	Scardale, à peine un hameau au fin fond du Derbyshire, une des régions les plus sauvages et les plus reculées d'Angleterre. Dix maisons qui appartiennent toutes au maître du lieu. Mais, en ce jour de décembre 1963, un événement bouleverse la petite communauté. Alison Carter, belle-fille du châtelain, a disparu. Fugue, rapt ou assassinat ? Impossible que personne ne sache rien. Pourtant l'inspecteur George Bennett se heurte à un mur de silence. Et puis, un à un, savamment orchestrés, des indices surgissent, accablant l'un des habitants de Scardale, le seul qui soit étranger au village. C'est la curée. Il faudra trente-cinq ans et un incroyable concours de circonstances pour qu'éclate la vérité.	https://images-na.ssl-images-amazon.com/images/I/51KOHsoL0NL._SX210_.jpg
